구분별,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,검역,전국거리두기,수도권거리두기,전체
2020. 07. 09,8,0,0,3,15,6,0,0,8,0,0,1,1,1,0,2,0,5,1,1,49
2020. 07. 10,8,0,0,1,3,7,0,0,14,0,2,0,0,3,0,3,0,4,1,1,45
2020. 07. 11,8,0,0,1,9,2,0,0,4,0,0,1,2,0,0,0,0,8,1,1,35
2020. 07. 12,7,0,0,0,5,1,0,0,17,0,0,0,1,0,0,1,0,12,1,1,44
2020. 07. 13,13,0,1,3,7,0,0,0,11,2,1,4,0,0,0,2,0,18,1,1,62
2020. 07. 14,7,0,0,0,1,1,0,0,9,0,1,0,2,0,0,0,0,12,1,1,33
2020. 07. 15,6,0,0,1,1,3,0,0,5,0,0,0,0,0,0,0,0,23,1,1,39
2020. 07. 16,7,0,2,3,1,1,1,0,21,3,1,0,0,0,0,1,0,20,1,1,61
2020. 07. 17,9,0,0,0,5,1,0,0,15,0,0,0,0,0,0,2,3,25,1,1,60
2020. 07. 18,6,1,3,2,0,0,1,0,10,0,0,0,0,1,0,2,1,12,1,1,39
2020. 07. 19,10,0,0,1,10,1,0,0,4,0,0,0,0,0,0,0,1,7,1,1,34
2020. 07. 20,3,0,2,2,1,0,0,0,1,0,0,1,1,2,1,2,0,10,1,1,26
2020. 07. 21,21,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,1,18,1,1,45
2020. 07. 22,16,0,1,5,4,0,0,0,15,0,1,1,0,0,0,1,0,19,1,1,63
2020. 07. 23,12,2,0,3,9,0,0,0,28,0,0,0,0,0,0,0,0,5,1,1,59
2020. 07. 24,21,2,2,0,2,0,0,0,8,0,0,0,0,0,1,2,0,3,1,1,41
2020. 07. 25,11,5,0,0,0,0,1,0,14,0,0,0,0,1,0,0,0,81,1,1,113
2020. 07. 26,7,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,42,1,1,58
2020. 07. 27,9,1,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,7,1,1,25
2020. 07. 28,6,2,0,0,0,0,0,0,6,0,0,1,0,2,1,0,0,10,1,1,28
2020. 07. 29,9,1,0,3,1,0,1,0,11,0,0,0,0,0,1,0,0,21,1,1,48
2020. 07. 30,3,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,8,1,1,18
2020. 07. 31,8,0,1,0,0,0,0,0,10,2,0,1,0,0,2,0,0,12,1,1,36
2020. 08. 01,2,1,0,1,0,0,0,0,7,0,0,0,0,0,1,0,0,19,1,1,31
2020. 08. 02,5,1,2,0,1,0,0,0,3,0,0,0,0,0,1,0,0,17,1,1,30
2020. 08. 03,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,14,1,1,23
2020. 08. 04,9,1,0,1,2,0,0,0,11,0,1,0,0,1,1,0,0,7,1,1,34
2020. 08. 05,6,0,1,1,1,0,0,0,7,1,6,0,0,0,0,4,0,6,1,1,33
2020. 08. 06,9,3,0,0,0,0,0,0,13,2,1,2,0,2,4,1,0,6,1,1,43
